,词频,发音,词性,原型
当たり前,279,アタリマエ,名詞,当たり前
両手,278,リョウテ,名詞,両手
だす,278,ダス,動詞,だす
それぞれ,277,ソレゾレ,名詞,それぞれ
言える,276,イエル,動詞,言える
近く,276,チカク,名詞,近く
たっ,275,タッ,動詞,たつ
傘,275,カサ,名詞,傘
高く,275,タカク,形容詞,高い
つもり,275,ツモリ,名詞,つもり
響く,275,ヒビク,動詞,響く
ごと,274,ゴト,名詞,ごと
魂,274,タマシイ,名詞,魂
砂,274,スナ,名詞,砂
始まる,274,ハジマル,動詞,始まる
ど,273,ド,接頭詞,ど
仕方,273,シカタ,名詞,仕方
やっぱり,273,ヤッパリ,副詞,やっぱり
罪,273,ツミ,名詞,罪
楽しい,271,タノシイ,形容詞,楽しい
迷わ,271,マヨワ,動詞,迷う
共に,270,トモニ,副詞,共に
正解,269,セイカイ,名詞,正解
入れ,269,イレ,動詞,入れる
ぬくもり,269,ヌクモリ,名詞,ぬくもり
叶う,269,カナウ,動詞,叶う
覚め,267,サメ,動詞,覚める
鮮やか,266,アザヤカ,名詞,鮮やか
きれい,266,キレイ,名詞,きれい
やっと,266,ヤット,副詞,やっと
脳,266,ノウ,名詞,脳
関係,266,カンケイ,名詞,関係
ハイ,265,ハイ,名詞,ハイ
二つ,265,フタツ,名詞,二つ
飽き,265,アキ,動詞,飽きる
叫び,264,サケビ,名詞,叫び
点,264,テン,名詞,点
正義,264,セイギ,名詞,正義
たくさん,263,タクサン,名詞,たくさん
唄,263,ウタ,名詞,唄
あい,262,アイ,名詞,あい
歌い,262,ウタイ,動詞,歌う
描く,262,エガク,動詞,描く
元気,262,ゲンキ,名詞,元気
泣か,262,ナカ,動詞,泣く
にこにこ,261,ニコニコ,副詞,にこにこ
不思議,260,フシギ,名詞,不思議
忘れる,260,ワスレル,動詞,忘れる
恐れ,260,オソレ,動詞,恐れる
生,260,ナマ,接頭詞,生
始まり,260,ハジマリ,動詞,始まる
濡れ,259,ヌレ,動詞,濡れる
程,259,ホド,名詞,程
一生,259,イッショウ,名詞,一生
進め,259,ススメ,動詞,進める
りん,259,リン,副詞,りん
誰か,258,ダレカ,名詞,誰か
許さ,258,ユルサ,動詞,許す
最低,258,サイテイ,名詞,最低
ほう,258,ホウ,名詞,ほう
悲しく,257,カナシク,形容詞,悲しい
いたん,256,イタン,動詞,いたむ
こころ,256,ココロ,名詞,こころ
リズム,256,リズム,名詞,リズム
ココロ,256,ココロ,名詞,ココロ
汗,255,アセ,名詞,汗
内,255,ウチ,名詞,内
ちゃん,255,チャン,名詞,ちゃん
げ,254,ゲ,名詞,げ
モノ,254,モノ,名詞,モノ
集め,254,アツメ,動詞,集める
辿り,253,タドリ,動詞,辿る
なし,252,ナシ,形容詞,ない
しれ,252,シレ,動詞,しれる
変わり,252,カワリ,動詞,変わる
靴,252,クツ,名詞,靴
邪魔,251,ジャマ,名詞,邪魔
走る,251,ハシル,動詞,走る
だれ,250,ダレ,名詞,だれ
ゆっくり,250,ユックリ,副詞,ゆっくり
秒,250,ビョウ,名詞,秒
叶わ,250,カナワ,動詞,叶う
映画,250,エイガ,名詞,映画
特別,249,トクベツ,名詞,特別
無,249,ム,接頭詞,無
寝,249,ネ,動詞,寝る
聞き,249,キキ,動詞,聞く
くだらない,248,クダラナイ,形容詞,くだらない
本気,248,ホンキ,名詞,本気
解け,248,トケ,動詞,解ける
回る,248,マワル,動詞,回る
怖い,248,コワイ,形容詞,怖い
やり,247,ヤリ,動詞,やる
日常,246,ニチジョウ,名詞,日常
裏,246,ウラ,名詞,裏
せめて,246,セメテ,副詞,せめて
針,246,ハリ,名詞,針
続き,245,ツヅキ,動詞,続く
殺し,245,コロシ,動詞,殺す
さようなら,245,サヨウナラ,感動詞,さようなら
決して,245,ケッシテ,副詞,決して
落ちる,244,オチル,動詞,落ちる
出る,244,デル,動詞,出る
会,244,カイ,名詞,会
得,244,トク,名詞,得
仕事,243,シゴト,名詞,仕事
ゆ,243,ユ,名詞,ゆ
大嫌い,243,ダイキライ,名詞,大嫌い
万,243,マン,名詞,万
まあ,243,マア,副詞,まあ
ゆけ,243,ユケ,動詞,ゆける
つない,242,ツナイ,動詞,つなぐ
絆,242,キズナ,名詞,絆
指先,242,ユビサキ,名詞,指先
居る,241,イル,動詞,居る
乗せ,241,ノセ,動詞,乗せる
残っ,241,ノコッ,動詞,残る
走っ,241,ハシッ,動詞,走る
届い,241,トドイ,動詞,届く
幻,240,マボロシ,名詞,幻
去っ,240,サッ,動詞,去る
開い,240,ヒライ,動詞,開く
嬉しい,240,ウレシイ,形容詞,嬉しい
言,239,ゲン,名詞,言
寂しく,239,サビシク,形容詞,寂しい
あふれ,238,アフレ,動詞,あふれる
向け,238,ムケ,動詞,向ける
だい,238,ダイ,名詞,だい
帰っ,238,カエッ,動詞,帰る
心配,238,シンパイ,名詞,心配
炎,238,ホノオ,名詞,炎
聞こえる,237,キコエル,動詞,聞こえる
結局,237,ケッキョク,名詞,結局
良かっ,237,ヨカッ,形容詞,良い
分かり,236,ワカリ,動詞,分かる
じゃ,235,ジャ,接続詞,じゃ
ドキドキ,235,ドキドキ,名詞,ドキドキ
祭り,234,マツリ,名詞,祭り
愛する,234,アイスル,動詞,愛する
壁,234,カベ,名詞,壁
しよう,234,シヨウ,名詞,しよう
うん,233,ウン,感動詞,うん
彷徨,233,ホウコウ,名詞,彷徨
切れ,232,キレ,動詞,切れる
繋ぐ,231,ツナグ,動詞,繋ぐ
巡り,231,メグリ,動詞,巡る
今宵,231,コヨイ,名詞,今宵
他人,231,タニン,名詞,他人
全然,231,ゼンゼン,副詞,全然
彼女,231,カノジョ,名詞,彼女
ドア,230,ドア,名詞,ドア
仲間,230,ナカマ,名詞,仲間
合図,230,アイズ,名詞,合図
東京,229,トウキョウ,名詞,東京
ろ,229,ロ,名詞,ろ
バイ,229,バイ,名詞,バイ
后,228,キサキ,名詞,后
ありふれ,228,アリフレ,動詞,ありふれる
ゆらゆら,228,ユラユラ,副詞,ゆらゆら
迷っ,227,マヨッ,動詞,迷う
悪く,227,ワルク,形容詞,悪い
問題,227,モンダイ,名詞,問題
燃え,227,モエ,動詞,燃える
崩れ,227,クズレ,動詞,崩れる
酒,227,サケ,名詞,酒
思える,226,オモエル,動詞,思える
熱,226,アツ,形容詞,熱い
百,226,ヒャク,名詞,百
眠っ,225,ネムッ,動詞,眠る
熱い,225,アツイ,形容詞,熱い
時計,225,トケイ,名詞,時計
限界,224,ゲンカイ,名詞,限界
弱い,224,ヨワイ,形容詞,弱い
黒い,224,クロイ,形容詞,黒い
元,223,モト,接頭詞,元
いける,222,イケル,動詞,いける
狂っ,222,クルッ,動詞,狂う
気分,222,キブン,名詞,気分
ホント,222,ホント,名詞,ホント
今更,222,イマサラ,副詞,今更
なんだか,222,ナンダカ,副詞,なんだか
たま,221,タマ,名詞,たま
叫ぶ,221,サケブ,動詞,叫ぶ
みよ,221,ミヨ,動詞,みる
それだけ,221,ソレダケ,副詞,それだけ
迎え,221,ムカエ,動詞,迎える
駆け,221,カケ,動詞,駆ける
溢れる,219,アフレル,動詞,溢れる
本能,219,ホンノウ,名詞,本能
灯り,219,アカリ,名詞,灯り
淡い,219,アワイ,形容詞,淡い
付け,219,ツケ,動詞,付ける
行ける,219,イケル,動詞,行ける
上手く,218,ウマク,形容詞,上手い
だし,218,ダシ,動詞,だす
小さく,218,チイサク,形容詞,小さい
退屈,218,タイクツ,名詞,退屈
ほ,218,ホ,動詞,ほる
突然,217,トツゼン,副詞,突然
もと,217,モト,名詞,もと
灯,216,アカリ,名詞,灯
込め,216,コメ,動詞,込める
会っ,216,アッ,動詞,会う
ストーリー,216,ストーリー,名詞,ストーリー
合い,215,アイ,動詞,合う
作っ,215,ツクッ,動詞,作る
電話,215,デンワ,名詞,電話
染め,215,ソメ,動詞,染める
確かめ,215,タシカメ,動詞,確かめる
そ,215,ソ,名詞,そ
黙っ,215,ダマッ,動詞,黙る
ゲーム,214,ゲーム,名詞,ゲーム
本,214,ホン,接頭詞,本
欲しく,213,ホシク,形容詞,欲しい
寄せ,213,ヨセ,動詞,寄せる
赤,213,アカ,名詞,赤
愛情,213,アイジョウ,名詞,愛情
奪っ,213,ウバッ,動詞,奪う
わか,213,ワカ,動詞,わく
理解,212,リカイ,名詞,理解
小,212,ショウ,接頭詞,小
きっ,212,キッ,動詞,きる
あう,212,アウ,動詞,あう
正しい,211,タダシイ,形容詞,正しい
こんなにも,210,コンナニモ,副詞,こんなにも
まんま,210,マンマ,名詞,まんま
手紙,210,テガミ,名詞,手紙
与え,209,アタエ,動詞,与える
握っ,209,ニギッ,動詞,握る
王子,209,オウジ,名詞,王子
ダーリン,209,ダーリン,名詞,ダーリン
降り,209,オリ,動詞,降りる
穴,208,アナ,名詞,穴
秋,208,アキ,名詞,秋
メロディー,208,メロディー,名詞,メロディー
青春,207,セイシュン,名詞,青春
奪わ,207,ウバワ,動詞,奪う
誓っ,206,チカッ,動詞,誓う
目指し,206,メザシ,動詞,目指す
恋人,205,コイビト,名詞,恋人
遊び,205,アソビ,名詞,遊び
満ち,205,ミチ,動詞,満ちる
先生,204,センセイ,名詞,先生
そんなに,203,ソンナニ,副詞,そんなに
望む,203,ノゾム,動詞,望む
所,203,トコロ,名詞,所
守っ,203,マモッ,動詞,守る
無限,203,ムゲン,名詞,無限
で,203,デ,動詞,でる
視線,202,シセン,名詞,視線
いつしか,202,イツシカ,副詞,いつしか
笑わ,202,ワラワ,動詞,笑う
奴,202,ヤツ,名詞,奴
横,202,ヨコ,名詞,横
証,202,アカシ,名詞,証
振り,201,フリ,動詞,振る
信じる,201,シンジル,動詞,信じる
首,201,クビ,名詞,首
戻ら,201,モドラ,動詞,戻る
やっぱ,201,ヤッパ,副詞,やっぱ
変,200,ヘン,名詞,変
唇,200,クチビル,名詞,唇
どうぞ,199,ドウゾ,副詞,どうぞ
想っ,199,オモッ,動詞,想う
包ま,198,ツツマ,動詞,包む
目覚め,198,メザメ,動詞,目覚める
正直,198,ショウジキ,名詞,正直
感じる,198,カンジル,動詞,感じる
想,198,ソウ,名詞,想
がっ,198,ガッ,動詞,がる
ほんの,198,ホンノ,連体詞,ほんの
きらり,198,キラリ,副詞,きらり
染まる,198,ソマル,動詞,染まる
キラキラ,198,キラキラ,副詞,キラキラ
絶望,198,ゼツボウ,名詞,絶望
強い,197,ツヨイ,形容詞,強い
衝動,197,ショウドウ,名詞,衝動
こうして,197,コウシテ,接続詞,こうして
止まっ,196,トマッ,動詞,止まる
待ち,196,マチ,動詞,待つ
一言,196,ヒトコト,名詞,一言
任せ,196,マカセ,動詞,任せる
地獄,196,ジゴク,名詞,地獄
番,194,バン,名詞,番
国,194,クニ,名詞,国
ふと,194,フト,副詞,ふと
吹く,194,フク,動詞,吹く
嵐,194,アラシ,名詞,嵐
甘く,194,アマク,形容詞,甘い
助け,194,タスケ,動詞,助ける
巡る,194,メグル,動詞,巡る
進ん,193,ススン,動詞,進む
生命,193,セイメイ,名詞,生命
取っ,193,トッ,動詞,取る
急,193,キュウ,名詞,急
いう,193,イウ,動詞,いう
空気,193,クウキ,名詞,空気
右,193,ミギ,名詞,右
うた,193,ウタ,名詞,うた
透明,193,トウメイ,名詞,透明
構わ,192,カマワ,動詞,構う
恋し,192,コイシ,形容詞,恋しい
敵,192,テキ,名詞,敵
走れ,192,ハシレ,動詞,走る
夢中,192,ムチュウ,名詞,夢中
流さ,192,ナガサ,動詞,流す
みせる,192,ミセル,動詞,みせる
気付か,192,キヅカ,動詞,気付く
居場所,191,イバショ,名詞,居場所
別に,191,ベツニ,副詞,別に
輪,191,ワ,名詞,輪
いつの間にか,191,イツノマニカ,副詞,いつの間にか
とい,191,トイ,動詞,とく
止ま,191,トマ,動詞,止まる
肌,191,ハダ,名詞,肌
出せ,191,ダセ,動詞,出せる
傍,191,ハタ,名詞,傍
こぼれ,190,コボレ,動詞,こぼれる
合え,190,アエ,動詞,合う
死,190,シ,名詞,死
熱く,190,アツク,形容詞,熱い
はじめ,190,ハジメ,名詞,はじめ
なき,190,ナキ,形容詞,ない
明け,190,アケ,動詞,明ける
幸福,190,コウフク,名詞,幸福
幻想,189,ゲンソウ,名詞,幻想
今度,189,コンド,名詞,今度
わかり,189,ワカリ,動詞,わかる
救い,189,スクイ,名詞,救い
超,189,チョウ,接頭詞,超
笑み,188,エミ,名詞,笑み
色褪せ,188,イロアセ,動詞,色褪せる
染まっ,188,ソマッ,動詞,染まる
燃える,188,モエル,動詞,燃える
眩しい,188,マブシイ,形容詞,眩しい
苦しく,188,クルシク,形容詞,苦しい
喉,187,ノド,名詞,喉
灰,187,ハイ,名詞,灰
世界中,187,セカイジュウ,名詞,世界中
上がる,187,アガル,動詞,上がる
広げ,187,ヒロゲ,動詞,広げる
始まっ,187,ハジマッ,動詞,始まる
叶,186,カノウ,名詞,叶
暮れ,186,クレ,名詞,暮れ
左,186,ヒダリ,名詞,左
音楽,185,オンガク,名詞,音楽
覚悟,185,カクゴ,名詞,覚悟
めぐり,185,メグリ,動詞,めぐる
触れる,185,フレル,動詞,触れる
箱,185,ハコ,名詞,箱
鍵,185,カギ,名詞,鍵
必ず,185,カナラズ,副詞,必ず
える,184,エル,動詞,える
木,184,キ,名詞,木
抱き,184,イダキ,動詞,抱く
いざ,184,イザ,副詞,いざ
天使,184,テンシ,名詞,天使
どっか,184,ドッカ,名詞,どっか
パッ,184,パッ,副詞,パッ
悪,183,アク,接頭詞,悪
冷め,183,サメ,動詞,冷める
繋がっ,183,ツナガッ,動詞,繋がる
立て,183,タテ,動詞,立てる
ため息,183,タメイキ,名詞,ため息
振っ,183,フッ,動詞,振る
意思,182,イシ,名詞,意思
そろそろ,182,ソロソロ,副詞,そろそろ
メロディ,182,メロディ,名詞,メロディ
じゃあ,182,ジャア,感動詞,じゃあ
都,182,ト,名詞,都
抱か,182,イダカ,動詞,抱く
とっ,182,トッ,動詞,とる
お互い,182,オタガイ,名詞,お互い
切ない,181,セツナイ,形容詞,切ない
訳,181,ワケ,名詞,訳
帰り道,181,カエリミチ,名詞,帰り道
吹い,181,フイ,動詞,吹く
零れ,181,コボレ,動詞,零れる
羽,181,ハネ,名詞,羽
森,181,モリ,名詞,森
ガラス,181,ガラス,名詞,ガラス
がり,181,ガリ,動詞,がる
隠れ,181,カクレ,動詞,隠れる
白,180,シロ,形容詞,白い
甘え,180,アマエ,動詞,甘える
偶然,179,グウゼン,名詞,偶然
痛く,179,イタク,形容詞,痛い
泣け,179,ナケ,動詞,泣ける
普通,179,フツウ,名詞,普通
堕ち,179,オチ,動詞,堕ちる
落とし,179,オトシ,動詞,落とす
真夜中,178,マヨナカ,名詞,真夜中
えー,178,エー,フィラー,えー
大きく,178,オオキク,形容詞,大きい
ページ,178,ページ,名詞,ページ
散っ,177,チッ,動詞,散る
黒,177,クロ,名詞,黒
レ,177,レ,名詞,レ
埋め,177,ウメ,動詞,埋める
頂戴,177,チョウダイ,名詞,頂戴
燃やし,177,モヤシ,動詞,燃やす
震える,177,フルエル,動詞,震える
ぶっ,176,ブッ,動詞,ぶる
途中,176,トチュウ,名詞,途中
暇,176,ヒマ,名詞,暇
自身,176,ジシン,名詞,自身
いき,176,イキ,名詞,いき
乗り越え,176,ノリコエ,動詞,乗り越える
金,176,キン,名詞,金
吹か,176,フカ,動詞,吹く
向かう,175,ムカウ,動詞,向かう
広がる,175,ヒロガル,動詞,広がる
つらい,175,ツライ,形容詞,つらい
分かる,175,ワカル,動詞,分かる
時々,175,トキドキ,副詞,時々
響い,175,ヒビイ,動詞,響く
くん,175,クン,動詞,くむ
いたい,175,イタイ,形容詞,いたい
面,174,メン,名詞,面
気付け,174,キヅケ,動詞,気付く
世の中,174,ヨノナカ,名詞,世の中
おやすみ,174,オヤスミ,感動詞,おやすみ
救わ,173,スクワ,動詞,救う
未,173,ミ,接頭詞,未
出会う,173,デアウ,動詞,出会う
時に,173,トキニ,副詞,時に
等,172,トウ,名詞,等
有,172,ユウ,名詞,有
ありのまま,172,アリノママ,副詞,ありのまま
不器用,172,ブキヨウ,名詞,不器用
大地,172,ダイチ,名詞,大地
合える,172,アエル,動詞,合える
向かっ,172,ムカッ,動詞,向かう
世,171,ヨ,名詞,世
周り,171,マワリ,名詞,周り
付い,171,ツイ,動詞,付く
勝手,171,カッテ,名詞,勝手
宝物,171,ホウモツ,名詞,宝物
マジ,170,マジ,名詞,マジ
感覚,170,カンカク,名詞,感覚
つまらない,170,ツマラナイ,形容詞,つまらない
たまに,170,タマニ,副詞,たまに
ダンス,170,ダンス,名詞,ダンス
誓い,169,チカイ,動詞,誓う
残さ,169,ノコサ,動詞,残す
まっ,169,マッ,接頭詞,まっ
ヒーロー,169,ヒーロー,名詞,ヒーロー
ぼっ,168,ボッ,動詞,ぼる
降っ,168,フッ,動詞,降る
知れ,168,シレ,動詞,知れる
文字,168,モジ,名詞,文字
服,168,フク,名詞,服
興味,168,キョウミ,名詞,興味
立つ,168,タツ,動詞,立つ
さらり,167,サラリ,副詞,さらり
浮かん,167,ウカン,動詞,浮かぶ
起き,167,オキ,動詞,起きる
単純,167,タンジュン,名詞,単純
失う,167,ウシナウ,動詞,失う
例えば,166,タトエバ,接続詞,例えば
真,166,シン,名詞,真
つまり,166,ツマリ,接続詞,つまり
みせ,166,ミセ,動詞,みせる
絡まる,166,カラマル,動詞,絡まる
要,166,ヨウ,接頭詞,要
戻っ,166,モドッ,動詞,戻る
歪ん,165,イガン,動詞,歪む
ゆこ,165,ユコ,動詞,ゆく
夕暮れ,165,ユウグレ,名詞,夕暮れ
横顔,165,ヨコガオ,名詞,横顔
吸っ,164,スッ,動詞,吸う
真ん中,164,マンナカ,名詞,真ん中
欲し,164,ホシ,形容詞,欲しい
偽り,164,イツワリ,名詞,偽り
欠片,164,カケラ,名詞,欠片
船,164,フネ,名詞,船
ふわふわ,164,フワフワ,副詞,ふわふわ
足跡,164,アシアト,名詞,足跡
グッ,164,グッ,副詞,グッ
止める,164,トメル,動詞,止める
ええ,164,エエ,形容詞,ええ
自己,164,ジコ,名詞,自己
望ん,163,ノゾン,動詞,望む
ほんと,163,ホント,感動詞,ほんと
自信,162,ジシン,名詞,自信
ゆめ,162,ユメ,副詞,ゆめ
可愛い,162,カワイイ,形容詞,可愛い
夕焼け,162,ユウヤケ,名詞,夕焼け
越し,162,ゴシ,名詞,越し
嫌わ,162,キラワ,動詞,嫌う
微笑ん,162,ホホエン,動詞,微笑む
そういう,162,ソウイウ,連体詞,そういう
認め,162,ミトメ,動詞,認める
臆病,161,オクビョウ,名詞,臆病
青空,161,アオゾラ,名詞,青空
必死,161,ヒッシ,名詞,必死
けど,161,ケド,接続詞,けど
逢える,161,アエル,動詞,逢える
種,160,タネ,名詞,種
交わし,160,カワシ,動詞,交わす
結ん,160,ムスン,動詞,結ぶ
怯え,160,オビエ,動詞,怯える
哀しみ,160,カナシミ,名詞,哀しみ
